valor,hora,tipo,saldo
8737.03,23,transferencia,153854.97
1180.71,6,pagamento,77995.74
812.49,7,pagamento,-2782.91
531.99,17,pagamento,75158.25
4800.68,21,transferencia,101358.25
1841.45,6,pagamento,66375.44
1232.22,14,transferencia,53963.48
555.96,8,pagamento,60309.43
1324.25,13,pagamento,71102.68
12150.87,12,levantamento,125965.12
325.19,2,pagamento,67821.93
1090.81,5,pagamento,104470.96
7587.27,23,transferencia,20243.88
4910.73,3,pagamento,105644.62
1145.39,20,deposito,62708.46
2127.87,17,pagamento,112629.68
2618.48,10,transferencia,95154.93
2012.37,6,pagamento,13524.53
7536.85,14,levantamento,32624.71
2372.75,23,pagamento,99324.1
4484.64,21,transferencia,38747.22
2090.75,10,deposito,110420.72
355.7,18,deposito,62706.67
696.5,8,levantamento,62911.08
822.29,5,levantamento,81333.1
1481.15,6,transferencia,112003.68
9535.07,7,pagamento,15330.67
2416.15,23,transferencia,169152.89
1661.32,11,pagamento,95554.55
4869.99,23,levantamento,147084.69
565.94,18,transferencia,101537.7
1222.0,21,pagamento,87035.47
1085.87,13,pagamento,51438.68
2486.01,22,transferencia,107994.08
3702.15,19,levantamento,111763.2
2636.45,19,transferencia,57934.58
2670.05,6,transferencia,41331.22
1354.4,1,transferencia,81489.75
2336.96,10,transferencia,60013.51
923.46,10,transferencia,77562.81
3100.48,7,pagamento,88781.46
1211.38,5,transferencia,64687.53
737.15,10,pagamento,70610.34
1863.58,10,pagamento,72691.97
391.31,4,transferencia,127615.33
5881.08,9,transferencia,91701.95
3420.97,0,pagamento,63117.28
2367.47,6,transferencia,77712.53
493.27,3,transferencia,41582.58
1032.61,12,pagamento,65740.12
1867.67,19,deposito,59914.48
1464.86,14,pagamento,68368.7
468.32,15,transferencia,108222.88
630.72,2,pagamento,7891.68
1441.62,20,levantamento,61118.05
647.66,21,transferencia,124925.26
5415.98,2,transferencia,53563.29
2685.52,7,pagamento,93806.35
950.73,15,levantamento,57168.46
4606.96,1,levantamento,79266.27
3921.25,6,deposito,108653.82
2278.26,0,levantamento,88694.09
1751.68,8,levantamento,52008.99
1423.99,8,pagamento,-6133.98
1173.86,20,deposito,11751.44
620.53,17,deposito,69182.6
6140.51,21,pagamento,120155.98
1192.24,11,deposito,95118.18
1849.3,11,deposito,94773.97
872.88,4,pagamento,57011.61
1469.15,10,pagamento,48148.51
17687.65,3,transferencia,85207.0
1011.51,15,pagamento,89979.01
5761.06,11,levantamento,132184.81
1768.27,1,deposito,53201.76
3114.9,4,transferencia,66507.78
4893.51,7,deposito,90819.42
2248.04,15,deposito,25304.04
1364.62,17,transferencia,106397.63
1557.95,22,deposito,82677.29
1600.48,2,pagamento,58618.92
8034.47,5,transferencia,60174.34
551.53,3,pagamento,65346.43
438.53,21,pagamento,114651.93
462.55,10,levantamento,39986.4
884.35,1,pagamento,65492.49
3165.5,20,transferencia,101202.42
3324.7,12,transferencia,66270.24
1112.09,12,deposito,83590.81
1767.3,17,transferencia,61089.47
740.23,23,levantamento,53432.73
797.24,12,transferencia,89691.68
2875.25,11,deposito,161082.3
4180.34,8,pagamento,109573.0
1234.65,23,transferencia,120822.77
6687.61,0,pagamento,59344.41
3914.66,4,transferencia,61714.48
6459.97,3,pagamento,80834.05
1421.19,3,transferencia,86858.66
6103.08,13,levantamento,98219.66
10338.54,10,transferencia,84818.62
1299.83,22,pagamento,99283.38
1598.25,13,transferencia,49813.42
847.11,11,pagamento,94711.2
723.88,15,pagamento,89005.67
730.67,14,transferencia,30395.22
944.66,9,transferencia,74789.06
2252.49,3,pagamento,22762.61
977.15,0,levantamento,89844.1
2198.06,18,pagamento,123469.1
2234.73,7,levantamento,101815.2
1241.28,9,levantamento,82939.67
1719.67,6,transferencia,117462.34
1185.2,1,pagamento,55482.3
1410.09,22,pagamento,143381.42
946.63,1,pagamento,13665.13
1933.88,21,levantamento,53498.78
1118.3,23,pagamento,75491.9
711.34,18,pagamento,87266.64
2906.61,11,transferencia,93490.41
2986.43,18,levantamento,59244.87
4400.0,23,transferencia,103809.61
796.7,11,pagamento,41153.5
1230.6,12,deposito,88883.09
2174.16,15,levantamento,54355.69
1209.99,7,pagamento,103678.76
2854.72,9,levantamento,1723.17
2692.83,5,pagamento,109521.71
2652.97,14,pagamento,76726.84
5812.31,16,pagamento,111929.37
3026.8,10,transferencia,83063.44
