idade,rendimento,anos_emprego,montante_emprestimo,taxa_juro,percentagem_rendimento,historico_credito,habitacao,finalidade_emprestimo,classe_emprestimo,historico_incumprimento,estado_emprestimo
21.0,52590.43,21.6,236742.63,,4.502,13.5,arrendada,pessoal,B,nao,0
51.0,69747.91,29.7,279597.24,17.59,4.009,8.2,arrendada,pessoal,C,nao,1
26.0,116210.44,26.3,47819.52,,0.411,8.8,hipoteca,educacao,B,nao,0
36.0,96674.83,13.7,130325.58,,1.348,17.2,arrendada,pessoal,A,nao,0
43.0,89942.82,6.3,208889.75,28.06,2.322,10.6,propria,saude,B,nao,1
63.0,92243.77,10.4,213817.73,,2.318,12.4,hipoteca,habitacao,B,sim,1
26.0,24664.29,21.8,257340.14,11.66,10.434,6.2,hipoteca,pessoal,B,nao,0
42.0,59642.42,26.7,11615.87,21.05,0.195,7.7,outra,negocio,B,nao,0
29.0,75919.76,19.2,259469.35,6.24,3.418,16.1,propria,saude,B,nao,0
58.0,62346.85,10.1,100602.38,19.24,1.614,10.1,propria,saude,B,nao,0
43.0,87714.09,6.1,5841.46,12.61,0.067,6.0,propria,negocio,A,nao,0
28.0,89827.59,,149020.39,,1.659,14.1,propria,saude,D,nao,0
69.0,3226.0,17.2,248126.75,27.02,76.915,2.7,propria,saude,D,nao,1
65.0,74787.96,13.4,164405.36,12.15,2.198,19.0,outra,educacao,B,sim,1
53.0,135161.17,23.7,130245.57,31.18,0.964,15.4,outra,negocio,A,nao,0
21.0,57605.88,6.8,219946.29,24.27,3.818,12.5,hipoteca,pessoal,C,nao,1
32.0,56673.12,0.1,294086.77,,5.189,8.5,arrendada,pessoal,B,nao,0
64.0,111647.82,11.9,78918.82,19.77,0.707,10.9,outra,habitacao,A,nao,0
23.0,61361.91,7.7,190777.88,25.22,3.109,16.9,arrendada,negocio,C,nao,1
38.0,40252.5,12.1,11448.16,23.0,0.284,17.2,hipoteca,educacao,D,nao,1
48.0,120397.91,29.9,205661.99,25.45,1.708,18.6,arrendada,negocio,D,nao,1
49.0,98840.49,5.0,98174.06,9.22,0.993,18.0,propria,negocio,D,nao,0
43.0,26007.61,3.6,40498.7,17.19,1.557,1.3,outra,negocio,C,nao,0
52.0,93285.48,0.5,294751.69,,3.16,6.7,propria,educacao,A,nao,0
44.0,41255.91,24.0,181551.6,27.51,4.401,8.7,outra,negocio,A,nao,1
22.0,87979.79,15.8,296762.49,13.59,3.373,4.7,outra,habitacao,D,sim,1
33.0,62156.73,12.8,243379.3,6.23,3.916,1.1,arrendada,habitacao,D,nao,1
50.0,42821.17,11.0,256407.98,22.15,5.988,6.4,propria,habitacao,B,nao,1
32.0,92718.12,8.9,148900.82,23.85,1.606,6.5,arrendada,pessoal,B,nao,0
29.0,116888.43,9.6,174403.17,24.09,1.492,10.1,outra,habitacao,A,nao,0
47.0,103228.62,22.4,150029.75,5.12,1.453,16.3,hipoteca,negocio,B,nao,0
69.0,22034.6,8.7,148935.06,19.02,6.759,2.0,arrendada,saude,C,nao,1
31.0,125596.89,22.1,54922.16,6.26,0.437,14.1,arrendada,habitacao,B,nao,0
32.0,82189.24,25.9,271457.61,8.55,3.303,14.8,propria,saude,B,nao,0
69.0,55024.83,29.2,214920.49,24.34,3.906,17.5,hipoteca,negocio,B,nao,1
53.0,107264.34,12.6,35124.5,19.17,0.327,19.2,arrendada,habitacao,A,nao,0
43.0,78681.49,25.0,257220.62,7.83,3.269,10.2,outra,negocio,A,nao,0
46.0,65411.99,12.7,149294.6,21.58,2.282,2.7,outra,negocio,D,nao,1
44.0,16465.67,28.7,64898.95,25.8,3.941,12.0,outra,educacao,C,nao,1
68.0,71958.55,21.4,1497673.85,,4.163,16.9,arrendada,habitacao,A,nao,0
47.0,74997.3,20.7,188804.08,6.14,2.517,16.1,outra,habitacao,D,nao,1
61.0,78465.33,7.4,138050.56,,1.759,17.0,arrendada,negocio,B,nao,0
61.0,65674.77,19.1,109787.86,29.97,1.672,18.0,hipoteca,educacao,B,nao,0
68.0,107641.64,,103254.61,15.16,0.959,15.9,arrendada,pessoal,A,nao,0
49.0,44614.49,17.7,157368.78,20.29,3.527,6.2,arrendada,habitacao,B,sim,1
66.0,33467.45,1.7,135598.28,10.83,4.052,9.1,outra,negocio,D,nao,1
22.0,73571.66,29.3,116035.3,19.97,1.577,6.0,hipoteca,negocio,C,nao,0
47.0,111541.81,18.9,23430.91,7.03,0.21,16.3,hipoteca,saude,A,nao,0
62.0,51544.17,7.5,257838.14,25.7,5.002,8.4,propria,negocio,B,nao,1
37.0,111670.35,22.3,220262.0,10.96,1.972,15.4,hipoteca,pessoal,A,nao,0
50.0,62607.87,15.2,44049.41,29.79,0.704,14.1,propria,pessoal,B,nao,0
21.0,70081.06,12.1,154765.35,,2.208,16.9,outra,negocio,A,sim,1
57.0,76002.61,26.0,63835.42,16.8,0.84,1.5,propria,habitacao,C,nao,0
40.0,69830.87,,251597.48,31.5,3.603,10.1,arrendada,habitacao,B,nao,1
53.0,62032.03,8.5,104738.94,9.75,1.688,2.6,outra,educacao,B,nao,0
41.0,64025.02,4.5,278004.54,21.02,4.342,17.6,propria,saude,B,nao,1
50.0,50251.36,6.6,192171.46,9.4,3.824,7.7,hipoteca,pessoal,D,nao,1
35.0,72635.96,17.6,264422.76,25.86,3.64,3.6,outra,educacao,D,nao,1
40.0,109148.12,26.3,183690.66,27.18,1.683,15.7,outra,negocio,D,nao,1
27.0,78216.47,,146567.89,16.49,1.874,5.8,arrendada,habitacao,A,nao,0
64.0,66690.01,0.4,77459.3,28.25,1.161,8.9,arrendada,negocio,B,nao,0
52.0,77144.65,24.3,219277.62,9.96,2.842,7.5,hipoteca,habitacao,A,nao,0
31.0,111707.15,24.2,168175.46,5.93,1.506,3.2,arrendada,saude,C,sim,1
22.0,42048.38,21.7,223704.65,14.04,5.32,15.5,hipoteca,pessoal,A,nao,0
41.0,77101.74,21.9,126301.05,11.6,1.638,3.2,,saude,A,nao,0
44.0,75302.73,6.9,59140.89,29.96,0.785,1.9,propria,saude,D,nao,1
38.0,53827.13,15.5,242432.8,12.94,4.504,18.0,hipoteca,habitacao,B,nao,0
43.0,41616.98,12.2,62302.52,16.65,1.497,8.2,arrendada,negocio,C,nao,0
49.0,58854.34,28.5,282637.67,27.35,4.802,17.6,hipoteca,pessoal,C,sim,1
30.0,71303.66,12.4,211987.57,5.05,2.973,18.2,outra,negocio,A,sim,1
26.0,58797.77,12.8,231690.85,21.02,3.94,7.3,hipoteca,educacao,D,sim,1
24.0,62181.91,8.6,83855.18,31.68,1.349,13.0,arrendada,negocio,A,nao,0
45.0,53001.1,23.7,221359.26,8.77,4.177,8.0,hipoteca,negocio,B,nao,0
60.0,80564.43,3.3,183814.5,29.73,2.282,5.3,arrendada,negocio,C,nao,1
43.0,152886.5,10.5,15591.68,21.15,0.102,17.4,outra,educacao,D,nao,1
27.0,40037.32,,195628.66,26.38,4.886,17.3,hipoteca,pessoal,B,nao,1
58.0,62378.88,7.3,186417.41,,2.988,18.7,hipoteca,saude,C,nao,1
47.0,111188.57,3.2,217875.12,23.42,1.96,2.0,propria,pessoal,A,nao,0
56.0,77040.02,,243627.29,12.2,3.162,17.9,propria,educacao,C,nao,1
67.0,52753.68,19.7,261435.04,6.28,4.956,8.5,hipoteca,negocio,B,nao,0
37.0,90672.21,6.6,213453.65,14.56,2.354,10.1,propria,habitacao,C,nao,1
52.0,112903.96,2.8,280779.22,29.05,2.487,14.3,hipoteca,negocio,B,sim,1
49.0,112758.26,18.4,80445.83,19.73,0.713,2.4,outra,negocio,A,nao,0
66.0,87252.88,15.0,137081.81,31.75,1.571,18.2,hipoteca,negocio,C,nao,1
36.0,58273.17,10.3,60438.89,22.93,1.037,1.8,arrendada,habitacao,C,nao,1
25.0,95723.66,22.4,279346.13,10.08,2.918,19.1,,saude,B,sim,1
37.0,105422.45,8.5,276437.62,27.25,2.622,10.6,outra,educacao,A,nao,1
39.0,82465.38,18.8,245142.77,14.22,2.973,1.1,arrendada,negocio,B,nao,0
32.0,55697.84,3.2,296159.41,28.56,5.317,17.0,outra,educacao,A,sim,1
40.0,111601.47,8.7,101358.22,5.22,0.908,14.3,arrendada,saude,B,nao,0
24.0,50658.39,23.4,287151.17,20.14,5.668,17.5,propria,pessoal,A,nao,1
26.0,136426.25,26.4,116375.79,23.4,0.853,3.6,outra,educacao,C,nao,1
49.0,79002.67,2.8,36801.33,31.96,0.466,14.7,outra,habitacao,D,nao,1
54.0,127579.79,13.7,215283.6,19.97,1.687,1.2,arrendada,saude,D,nao,0
57.0,101405.12,27.1,136564.88,21.46,1.347,4.5,outra,educacao,C,nao,1
31.0,109328.01,25.3,276423.59,29.7,2.528,11.2,outra,pessoal,B,nao,1
25.0,77799.41,30.0,126219.84,,1.622,11.6,outra,educacao,D,nao,0
68.0,76472.43,,202412.21,28.59,2.647,13.5,propria,habitacao,A,nao,1
66.0,56010.71,,193817.45,12.69,3.46,8.1,outra,negocio,B,sim,1
63.0,109707.15,25.1,120647.18,19.08,1.1,14.2,propria,saude,B,nao,0
62.0,82103.16,0.1,187365.12,14.63,2.282,14.9,arrendada,saude,B,sim,1
55.0,60730.24,29.3,194148.4,15.87,3.197,15.1,hipoteca,saude,B,nao,0
23.0,78137.5,6.6,156130.96,29.49,1.998,7.1,outra,negocio,B,sim,1
36.0,54496.12,20.4,164300.59,5.47,3.015,9.3,arrendada,pessoal,A,nao,0
45.0,82509.29,17.9,213686.14,25.08,2.59,17.9,propria,educacao,C,sim,1
65.0,37020.82,6.8,125682.82,25.61,3.395,17.9,hipoteca,negocio,A,nao,1
24.0,49515.4,19.0,69014.51,24.74,1.394,7.2,outra,educacao,C,nao,1
40.0,62116.81,,258780.5,30.92,4.166,15.5,hipoteca,saude,B,nao,1
53.0,104422.82,8.1,246694.6,26.83,2.362,12.5,arrendada,saude,C,nao,1
67.0,70482.68,23.4,93274.84,12.41,1.323,14.6,outra,pessoal,D,sim,1
44.0,33425.02,28.7,99671.04,29.31,2.982,2.8,arrendada,negocio,C,nao,1
24.0,31406.86,23.2,227079.4,17.63,7.23,11.3,propria,negocio,A,nao,0
36.0,68793.42,6.3,284724.51,,4.139,15.3,outra,educacao,D,sim,1
39.0,127377.76,16.5,256311.09,20.48,2.012,3.2,hipoteca,educacao,A,nao,1
45.0,60238.55,20.6,265397.51,,4.406,19.8,arrendada,educacao,C,nao,1
38.0,43032.89,29.9,171707.68,24.47,3.99,9.6,outra,pessoal,A,nao,1
21.0,68600.85,18.3,280803.01,16.09,4.093,6.2,outra,negocio,A,nao,0
25.0,68631.59,7.5,41438.85,16.07,0.604,11.1,outra,pessoal,A,nao,0
60.0,83478.98,18.5,158514.9,7.52,1.899,8.0,hipoteca,educacao,C,sim,1
37.0,92104.41,29.4,285738.28,30.28,3.102,9.5,arrendada,saude,A,nao,1
36.0,65672.67,14.6,107433.44,29.87,1.636,9.0,propria,negocio,A,nao,0
34.0,96500.58,4.9,178672.63,23.85,1.852,4.1,hipoteca,saude,A,sim,1
40.0,34563.46,7.3,178839.5,6.44,5.174,2.3,arrendada,habitacao,C,nao,1
47.0,61778.78,21.8,115627.48,27.9,1.872,4.3,arrendada,pessoal,B,nao,0
45.0,19992.57,8.6,175879.92,13.3,8.797,18.5,hipoteca,saude,B,nao,0
50.0,99257.21,9.0,191253.62,31.03,1.927,19.7,outra,educacao,B,nao,0
34.0,67332.17,17.0,260212.4,,3.865,19.1,arrendada,habitacao,A,sim,1
59.0,40928.14,18.6,25555.28,29.28,0.624,19.3,propria,negocio,A,nao,0
44.0,37009.65,22.5,138466.13,7.25,3.741,10.1,propria,educacao,C,nao,1
68.0,54545.16,6.5,166170.2,5.68,3.046,16.7,arrendada,negocio,A,nao,0
57.0,74679.07,,298168.75,24.38,3.993,7.5,propria,negocio,D,nao,1
37.0,94526.13,9.1,100039.2,24.53,1.058,17.7,hipoteca,educacao,B,nao,0
38.0,133430.99,27.0,156786.49,15.53,1.175,8.4,hipoteca,habitacao,B,nao,0
44.0,51674.65,15.5,209930.3,30.2,4.063,10.1,arrendada,pessoal,C,nao,1
32.0,87966.47,7.1,200229.99,7.1,2.276,15.7,hipoteca,pessoal,A,nao,0
34.0,82443.25,17.0,292428.56,18.83,3.547,12.9,outra,pessoal,C,nao,1
22.0,105690.75,0.8,274822.01,16.15,2.6,4.4,propria,saude,A,sim,1
24.0,68684.94,29.8,238788.67,18.69,3.477,18.4,hipoteca,negocio,D,nao,1
41.0,122424.9,3.2,114521.77,21.29,0.935,6.3,propria,negocio,B,nao,0
35.0,61459.96,15.0,190088.05,14.45,3.093,1.5,outra,habitacao,A,nao,0
34.0,59632.87,22.5,112078.05,30.01,1.879,13.9,propria,habitacao,D,nao,1
57.0,51023.77,15.0,275521.11,18.89,5.4,2.1,outra,educacao,D,sim,1
32.0,86110.73,17.8,64243.56,7.24,0.746,10.3,,educacao,D,nao,0
37.0,42993.51,25.6,89264.89,12.87,2.076,6.5,arrendada,saude,B,nao,0
22.0,99671.87,12.2,99786.67,22.76,1.001,14.1,propria,habitacao,C,nao,1
65.0,86126.52,0.6,26868.84,14.44,0.312,8.6,hipoteca,pessoal,B,nao,0
40.0,77797.9,14.1,81932.18,13.07,1.053,4.4,hipoteca,educacao,B,nao,0
69.0,48642.42,2.8,43709.87,17.49,0.899,1.4,hipoteca,habitacao,C,nao,0
30.0,76526.07,27.3,193885.42,12.28,2.534,19.8,outra,pessoal,D,nao,1
43.0,72538.02,8.9,8923.29,,0.123,4.0,hipoteca,educacao,D,nao,0
37.0,65634.9,15.1,271032.91,28.68,4.129,19.8,arrendada,educacao,D,nao,1
66.0,93523.36,25.7,204601.9,22.93,2.188,13.4,outra,saude,B,nao,1
46.0,65786.66,1.4,114868.79,27.18,1.746,12.0,propria,negocio,B,nao,0
55.0,92057.59,16.1,84359.46,6.28,0.916,7.2,arrendada,negocio,B,nao,0
53.0,70774.04,6.5,40243.62,21.36,0.569,13.9,hipoteca,saude,C,nao,1
53.0,52884.13,21.4,297154.6,20.68,5.619,17.4,hipoteca,negocio,A,nao,1
58.0,92761.82,2.5,161688.34,31.63,1.743,7.5,arrendada,saude,B,nao,0
34.0,50040.01,14.4,184053.48,12.74,3.678,9.8,propria,habitacao,A,nao,0
21.0,71465.19,9.2,99063.11,,1.386,1.9,arrendada,pessoal,C,nao,0
31.0,67757.89,18.4,118380.45,12.11,1.747,19.7,arrendada,pessoal,D,nao,0
21.0,24587.9,29.7,14875.82,16.89,0.605,12.7,propria,habitacao,C,nao,0
30.0,130049.89,23.1,280256.89,5.99,2.155,19.0,arrendada,educacao,C,nao,1
33.0,89248.67,3.1,168074.49,,1.883,5.5,outra,educacao,D,nao,0
26.0,95155.28,15.0,158339.39,7.7,1.664,7.3,propria,habitacao,D,nao,0
60.0,66384.36,29.5,190669.87,26.12,2.872,7.4,propria,habitacao,C,nao,1
68.0,26996.75,20.1,125014.98,13.03,4.631,11.4,propria,saude,A,nao,0
28.0,41755.57,7.3,205099.69,15.76,4.912,1.2,propria,educacao,B,nao,0
63.0,92093.48,2.4,296107.35,12.7,3.215,18.1,arrendada,pessoal,B,nao,0
47.0,83461.92,29.0,7968.49,,0.095,12.2,arrendada,negocio,C,nao,1
57.0,67587.91,18.7,167021.28,28.0,2.471,14.9,propria,pessoal,C,nao,1
38.0,60302.62,0.6,129387.24,31.86,2.146,15.1,outra,educacao,C,nao,1
37.0,90484.71,25.5,160966.93,31.38,1.779,4.0,arrendada,saude,B,nao,0
35.0,85398.88,29.0,161133.63,11.77,1.887,11.8,outra,educacao,A,nao,0
55.0,16260.89,29.6,213846.19,18.13,13.151,14.8,arrendada,negocio,A,nao,0
25.0,59658.57,16.3,224266.14,24.27,3.759,3.0,arrendada,pessoal,B,nao,1
22.0,180371.84,2.1,119336.73,18.35,0.662,4.1,arrendada,saude,C,sim,1
63.0,98032.57,10.0,54854.14,16.23,0.56,1.6,propria,pessoal,A,nao,0
30.0,104096.67,6.8,163156.9,21.78,1.567,10.8,propria,negocio,B,nao,0
30.0,89865.88,18.4,190273.37,30.92,2.117,15.8,outra,habitacao,A,nao,1
36.0,68968.05,29.0,121769.27,17.08,1.766,19.4,outra,saude,B,nao,0
66.0,75312.29,13.5,202611.72,,2.69,7.0,hipoteca,negocio,C,nao,1
47.0,68363.33,23.9,252303.58,6.99,3.691,2.6,arrendada,saude,D,nao,1
67.0,104510.97,2.4,55855.11,11.9,0.534,18.6,arrendada,saude,D,nao,0
46.0,62529.98,28.9,246680.16,10.79,3.945,2.0,outra,habitacao,B,nao,0
27.0,82306.2,8.5,299518.93,22.7,3.639,1.5,propria,saude,C,nao,1
54.0,107916.34,5.2,44847.38,25.86,0.416,7.2,outra,pessoal,B,nao,0
62.0,49575.43,0.2,98799.92,14.52,1.993,6.4,hipoteca,negocio,C,nao,0
62.0,91480.89,,80351.55,6.91,0.878,14.6,,negocio,B,nao,0
54.0,92981.24,5.8,268935.07,19.21,2.892,4.6,arrendada,saude,C,nao,1
37.0,111914.78,29.4,226268.13,6.6,2.022,9.7,arrendada,habitacao,A,nao,0
51.0,75869.89,3.4,243901.87,29.47,3.215,18.2,hipoteca,pessoal,D,nao,1
60.0,90048.66,8.2,235449.5,21.75,2.615,3.2,propria,saude,C,nao,1
56.0,97518.55,4.2,85583.83,14.78,0.878,13.9,hipoteca,habitacao,A,nao,0
30.0,103173.51,2.1,6266.38,14.59,0.061,13.1,hipoteca,habitacao,D,nao,0
23.0,118034.31,6.0,81630.82,28.69,0.692,16.1,arrendada,educacao,D,nao,1
36.0,71668.8,12.8,294241.62,29.19,4.106,14.7,,educacao,B,nao,1
23.0,100159.82,4.4,294803.39,15.65,2.943,12.2,arrendada,saude,A,nao,0
32.0,72166.76,16.4,180746.82,26.87,2.505,3.8,propria,negocio,D,nao,1
58.0,102682.94,13.4,9398.61,25.02,0.092,2.1,hipoteca,negocio,A,nao,0
61.0,71852.86,22.7,219041.46,11.9,3.048,3.6,arrendada,negocio,D,nao,1
43.0,95312.84,25.8,62445.36,5.95,0.655,7.1,arrendada,educacao,D,nao,0
53.0,68474.27,7.1,268096.89,24.57,3.915,5.3,hipoteca,saude,D,nao,1
